,purchase_ID,Date at created,Category,Name,Purchase Price,Delivery Price,Total
0,1,21-10-2020 14:42:55.373979,Saludable · Desayunos,Distrito Gourmet,10700,3700,14400
1,2,21-10-2020 14:42:55.483563,Postres,Toledo Pastelería,53900,6800,60700
2,3,21-10-2020 14:42:55.739536,Postres · Helados,Mahé,7500,6000,13500
3,4,21-10-2020 14:42:55.945560,Hamburguesas · Saludable,Restaurant Inn,23000,6100,29100
4,5,21-10-2020 14:42:56.201561,Postres · Desayunos,Maria Luisa - Postres,9000,4300,13300
5,6,21-10-2020 14:42:56.507789,Pollo · China,China Tao,24200,3500,27700
6,7,21-10-2020 14:42:56.613657,Desayunos,La Frijolada Desayunos,24300,4400,28700
7,8,21-10-2020 14:42:56.919591,Sushi · Asiática,Tu Sushi,45800,6400,52200
8,9,21-10-2020 14:42:57.025475,Desayunos · Café,Moramia,37900,4700,42600
9,10,21-10-2020 14:42:57.281396,Postres · Desayunos,BagBog Bagels,8900,6400,15300
10,11,21-10-2020 14:42:57.637426,Desayunos · Pescados y Mariscos,Luzí­a - Mediterranea,11870,5700,17570
11,12,21-10-2020 14:42:57.993546,Postres · Desayunos,La Folie - Postres,12500,3300,15800
12,13,21-10-2020 14:42:58.249459,Hamburguesas,Bendito Cordero,10700,5800,16500
13,14,21-10-2020 14:42:58.355327,Saludable,MIMA,24300,3700,28000
14,15,21-10-2020 14:42:58.711481,Saludable · Desayunos,La Estampilla,8900,6000,14900
15,16,21-10-2020 14:42:59.017628,Pizza,18 Scalini,37900,4300,42200
16,17,21-10-2020 14:42:59.323682,Saludable · Desayunos,La Cesta,39700,4700,44400
17,18,21-10-2020 14:42:59.579726,Típica,La Herencia,13600,5900,19500
18,19,21-10-2020 14:42:59.886211,Pollo · Sánduches,Pollos Century,13000,3000,16000
19,20,21-10-2020 14:43:00.192198,Helados,Orso To Go,8900,6800,15700
20,21,21-10-2020 14:43:00.498390,Desayunos · Café,Moramia,13600,4700,18300
21,22,21-10-2020 14:43:00.704277,Pizza · Parrilla,Urban Lunch,39700,4000,43700
22,23,21-10-2020 14:43:00.810159,Pollo · Saludable,Tremenda Sal y Dulce,24200,6500,30700
23,24,21-10-2020 14:43:00.915872,Mexicana,Cantina La 15,29500,4300,33800
